fwer,sensitivity,sm_sigma,snr,n,method
0.0,0.0,0.5,1.25,5,voxelwise_rft
0.0,0.00046948356807511736,0.5,1.5,5,voxelwise_rft
0.05,0.004460093896713615,0.5,1.75,5,voxelwise_rft
0.0,0.0011737089201877935,0.5,2.0,5,voxelwise_rft
0.0,0.0007042253521126761,0.5,2.25,5,voxelwise_rft
0.0,0.003286384976525821,0.5,2.5,5,voxelwise_rft
0.05,0.0025821596244131454,0.5,2.75,5,voxelwise_rft
0.0,0.005868544600938967,0.5,3.0,5,voxelwise_rft
0.0,0.0,0.75,0.0,5,voxelwise_rft
0.0,0.0,0.75,0.1,5,voxelwise_rft
0.1,0.0,0.75,0.25,5,voxelwise_rft
0.0,0.0,0.75,0.5,5,voxelwise_rft
0.0,0.0010526315789473684,0.75,0.75,5,voxelwise_rft
0.0,0.0007017543859649123,0.75,1.0,5,voxelwise_rft
0.0,0.0012280701754385965,0.75,1.25,5,voxelwise_rft
0.0,0.003333333333333333,0.75,1.5,5,voxelwise_rft
0.05,0.004736842105263157,0.75,1.75,5,voxelwise_rft
0.0,0.00736842105263158,0.75,2.0,5,voxelwise_rft
0.0,0.015087719298245613,0.75,2.25,5,voxelwise_rft
0.0,0.02087719298245614,0.75,2.5,5,voxelwise_rft
0.0,0.024912280701754386,0.75,2.75,5,voxelwise_rft
0.15,0.03508771929824562,0.75,3.0,5,voxelwise_rft
0.05,0.0,1.0,0.0,5,voxelwise_rft
0.1,0.0,1.0,0.1,5,voxelwise_rft
0.0,0.0,1.0,0.25,5,voxelwise_rft
0.15,0.00028653295128939826,1.0,0.5,5,voxelwise_rft
0.0,0.0004297994269340974,1.0,0.75,5,voxelwise_rft
0.05,0.001575931232091691,1.0,1.0,5,voxelwise_rft
0.0,0.007020057306590258,1.0,1.25,5,voxelwise_rft
0.05,0.006446991404011462,1.0,1.5,5,voxelwise_rft
0.05,0.01962750716332378,1.0,1.75,5,voxelwise_rft
0.05,0.03022922636103152,1.0,2.0,5,voxelwise_rft
0.0,0.038825214899713474,1.0,2.25,5,voxelwise_rft
0.0,0.05401146131805157,1.0,2.5,5,voxelwise_rft
0.0,0.07378223495702005,1.0,2.75,5,voxelwise_rft
0.0,0.09326647564469914,1.0,3.0,5,voxelwise_rft
0.05,0.0,1.25,0.0,5,voxelwise_rft
0.0,0.0,1.25,0.1,5,voxelwise_rft
0.05,0.00011655011655011655,1.25,0.25,5,voxelwise_rft
0.05,0.0004662004662004662,1.25,0.5,5,voxelwise_rft
0.0,0.002680652680652681,1.25,0.75,5,voxelwise_rft
0.05,0.0037296037296037305,1.25,1.0,5,voxelwise_rft
0.0,0.012237762237762236,1.25,1.25,5,voxelwise_rft
0.0,0.026573426573426574,1.25,1.5,5,voxelwise_rft
0.0,0.04149184149184149,1.25,1.75,5,voxelwise_rft
0.05,0.05128205128205128,1.25,2.0,5,voxelwise_rft
0.1,0.07272727272727272,1.25,2.25,5,voxelwise_rft
0.0,0.10256410256410257,1.25,2.5,5,voxelwise_rft
0.05,0.12657342657342657,1.25,2.75,5,voxelwise_rft
0.05,0.14487179487179486,1.25,3.0,5,voxelwise_rft
