,FWER,sensitivity,sm_sigma,snr,n_subj,method,threshold_u,FWHM
254,0.050000000000000044,,0.0,2.0,10,Clusterwise RFT,3.2,3.3302115674617405
255,0.26,,0.0,2.0,15,Clusterwise RFT,2.6,3.3299706280223607
256,0.07999999999999996,,0.0,2.0,15,Clusterwise RFT,3.0,3.3343187425435943
257,0.050000000000000044,,0.0,2.0,15,Clusterwise RFT,3.2,3.3308701334656092
258,0.09999999999999998,,0.0,2.0,20,Clusterwise RFT,2.6,3.3260598922083977
259,0.06999999999999995,,0.0,2.0,20,Clusterwise RFT,3.0,3.3284801782800035
260,0.040000000000000036,,0.0,2.0,20,Clusterwise RFT,3.2,3.336425932149832
261,0.18000000000000005,,0.0,2.0,30,Clusterwise RFT,2.6,3.3353583338883763
262,0.06000000000000005,,0.0,2.0,30,Clusterwise RFT,3.0,3.3302837642404093
263,0.06000000000000005,,0.0,2.0,30,Clusterwise RFT,3.2,3.3281497455806472
264,0.24,,0.0,2.0,45,Clusterwise RFT,2.6,3.326796972984081
265,0.030000000000000027,,0.0,2.0,45,Clusterwise RFT,3.0,3.332619224953852
266,0.050000000000000044,,0.0,2.0,45,Clusterwise RFT,3.2,3.329486998389447
267,0.24,,0.0,2.0,60,Clusterwise RFT,2.6,3.328333732775035
268,0.06000000000000005,,0.0,2.0,60,Clusterwise RFT,3.0,3.330102131745885
269,0.040000000000000036,,0.0,2.0,60,Clusterwise RFT,3.2,3.3313424987174947
270,0.0,,0.0,2.25,2,Clusterwise RFT,2.6,3.3252297896232794
271,0.0,,0.0,2.25,2,Clusterwise RFT,3.0,3.3273946439076507
272,0.0,,0.0,2.25,2,Clusterwise RFT,3.2,3.3381216415072483
273,0.12,,0.0,2.25,5,Clusterwise RFT,2.6,3.316593551617047
274,0.030000000000000027,,0.0,2.25,5,Clusterwise RFT,3.0,3.326925789750046
275,0.0,,0.0,2.25,5,Clusterwise RFT,3.2,3.3104224379542777
276,0.22999999999999998,,0.0,2.25,7,Clusterwise RFT,2.6,3.321584963217975
277,0.06000000000000005,,0.0,2.25,7,Clusterwise RFT,3.0,3.3343235852532658
278,0.030000000000000027,,0.0,2.25,7,Clusterwise RFT,3.2,3.3316039425868578
279,0.14,,0.0,2.25,10,Clusterwise RFT,2.6,3.330784408416959
280,0.13,,0.0,2.25,10,Clusterwise RFT,3.0,3.3274314282294664
281,0.010000000000000009,,0.0,2.25,10,Clusterwise RFT,3.2,3.337738492172345
282,0.18000000000000005,,0.0,2.25,15,Clusterwise RFT,2.6,3.3403016527602745
283,0.10999999999999999,,0.0,2.25,15,Clusterwise RFT,3.0,3.33324829889359
