fwer,sensitivity,sm_sigma,snr,n,method,distribution
0.05,0.004576659038901602,2.0,1.0,5,Voxel-wise permutation,t
0.05,0.007322654462242563,2.0,1.25,5,Voxel-wise permutation,t
0.05,0.006178489702517163,2.0,1.5,5,Voxel-wise permutation,t
0.0,0.011441647597254004,2.0,1.75,5,Voxel-wise permutation,t
0.0,0.028832951945080093,2.0,2.0,5,Voxel-wise permutation,t
0.0,0.02299771167048055,2.0,2.25,5,Voxel-wise permutation,t
0.0,0.05148741418764301,2.0,2.5,5,Voxel-wise permutation,t
0.0,0.038100686498855826,2.0,2.75,5,Voxel-wise permutation,t
0.0,0.03695652173913043,2.0,3.0,5,Voxel-wise permutation,t
0.0,0.0,2.25,0.0,5,Voxel-wise permutation,t
0.05,0.0,2.25,0.1,5,Voxel-wise permutation,t
0.0,0.0,2.25,0.25,5,Voxel-wise permutation,t
0.1,0.0,2.25,0.5,5,Voxel-wise permutation,t
0.0,0.0016096579476861169,2.25,0.75,5,Voxel-wise permutation,t
0.0,0.003420523138832998,2.25,1.0,5,Voxel-wise permutation,t
0.0,0.0030181086519114686,2.25,1.25,5,Voxel-wise permutation,t
0.05,0.011167002012072436,2.25,1.5,5,Voxel-wise permutation,t
0.0,0.011670020120724347,2.25,1.75,5,Voxel-wise permutation,t
0.0,0.04668008048289738,2.25,2.0,5,Voxel-wise permutation,t
0.05,0.026961770623742453,2.25,2.25,5,Voxel-wise permutation,t
0.0,0.025050301810865195,2.25,2.5,5,Voxel-wise permutation,t
0.0,0.020925553319919514,2.25,2.75,5,Voxel-wise permutation,t
0.1,0.08792756539235412,2.25,3.0,5,Voxel-wise permutation,t
0.05,0.0,2.5,0.0,5,Voxel-wise permutation,t
0.1,0.0,2.5,0.1,5,Voxel-wise permutation,t
0.05,0.00017825311942959,2.5,0.25,5,Voxel-wise permutation,t
0.0,0.00026737967914438503,2.5,0.5,5,Voxel-wise permutation,t
0.05,0.0025846702317290555,2.5,0.75,5,Voxel-wise permutation,t
0.15,0.001693404634581105,2.5,1.0,5,Voxel-wise permutation,t
0.05,0.007130124777183601,2.5,1.25,5,Voxel-wise permutation,t
0.0,0.008556149732620321,2.5,1.5,5,Voxel-wise permutation,t
0.0,0.01586452762923351,2.5,1.75,5,Voxel-wise permutation,t
